time	II_f	II_l	mIIa_f	mIIa_l	V_f	V_l	Va_f	Va_l	VII_f	VII_l	VIIa_f	VIIa_l	X_f	X_l	Xa_f	Xa_l	APC_f	APC_l	PS_f	PS_l	Vai_f	Vai_l	PC_f	PC_l	TF_l	TF_VIIa_l	TF_VII_l	TF_VIIa_X_l	TF_VIIa_Xa_l	TF_VII_Xa_l	Xa_Va_l	V_Xa_l	IIa_f	V_IIa_l	Xa_Va_II_l	Xa_Va_mIIa_l	APC_PS_l	TFPI_f	AT_f	IIa_AT_f	TFPI_Xa_l	TFPI_Xa_TF_VIIa_l	APC_PS_Va_l	Xa_AT_f	VII_Xa_l	V_mIIa_l	TM_l	IIa_TM_l	IIa_TM_PC_l	mIIa_AT_l	LIPID	alpha2M_l	alpha2M_IIa_l	alpha2M_Xa_l	nnamed: 5
0.4	406.337	768.163	9.305729999999999e-21	-4.519600000000001e-19	0.00766071	1.7423400000000002	3.11791e-13	9.46289e-11	0.14915599999999998	7.450589999999999	0.0006814839999999999	0.09897539999999999	31.6575	111.19200000000001	2.32061e-07	1.99173e-06	1.89375e-24	3.91231e-23	0.69927	115.301	2.32047e-41	1.31438e-38	17.1312	48.8688	0.0175982	0.000248899	0.000258608	7.580609999999999e-05	1.84465e-05	3.63056e-13	2.59768e-17	2.9756e-08	-1.07391e-19	1.00987e-21	-2.1789099999999998e-17	3.5168900000000004e-18	1.12646e-23	12.3	4721	2.13931e-22	3.69947e-09	5.246450000000001e-16	1.8971899999999998e-36	2.0412e-10	1.0862199999999999e-08	4.45528e-21	1	6.1004200000000004e-21	4.714840000000001e-22	4.677219999999999e-24	64718.2	364	6.037550000000001e-24	9.57973e-12	
0.44	393.296	781.204	3.9645699999999997e-19	-1.18645e-16	0.00783463	1.74217	5.43424e-13	1.57612e-10	0.15248299999999998	7.44723	0.000696674	0.0989255	31.9482	110.902	3.29906e-07	2.68892e-06	5.71049e-24	2.3867400000000004e-22	0.715116	115.285	2.22063e-40	1.15006e-37	17.4091	48.5909	0.0175374	0.00027214599999999997	0.000284726	8.33153e-05	2.2405e-05	5.487430000000001e-13	2.26357e-15	4.44569e-08	-2.70476e-17	2.96584e-20	-2.56443e-15	3.32228e-16	4.24187e-23	12.3	4721	5.39516e-21	5.89653e-09	1.01966e-15	1.55457e-35	3.2534500000000003e-10	1.4858e-08	1.30785e-19	1	1.70055e-19	-2.55149e-21	-4.82153e-23	63472.9	364	1.5226199999999999e-22	1.5269e-11	
0.48	382.76199999999994	791.738	1.41912e-19	-2.5360500000000003e-17	0.00797992	1.7420200000000001	8.9446e-13	2.49622e-10	0.15525899999999998	7.4444300000000005	0.000709313	0.0988783	32.2779	110.572	4.51308e-07	3.52026e-06	2.68918e-23	5.0051e-22	0.728351	115.272	1.6714099999999998e-39	8.21884e-37	17.6379	48.3621	0.0174768	0.000295145	0.000310737	9.064950000000001e-05	2.66447e-05	7.94933e-13	6.03207e-16	6.37702e-08	-5.81876e-18	1.3381799999999999e-20	-6.431130000000001e-16	8.64153e-17	1.74888e-22	12.3	4721	2.74556e-21	8.955180000000001e-09	1.85549e-15	9.594349999999999e-35	4.941090000000001e-10	1.96616e-08	5.90954e-20	1	8.01886e-20	4.31606e-21	3.8553899999999996e-23	62477.1	364	7.74851e-23	2.31894e-11	
0.52	374.221	800.279	1.56241e-19	5.66108e-19	0.00810095	1.7419	1.40422e-12	3.791969999999999e-10	0.15757000000000002	7.442089999999999	0.000719793	0.09883339999999999	32.6139	110.236	5.98187e-07	4.493640000000001e-06	8.41546e-23	1.3999e-21	0.739376	115.26100000000001	1.04317e-38	4.83498e-36	17.8263	48.1737	0.017416499999999998	0.000317893	0.00033664400000000004	9.78345e-05	3.11449e-05	1.11215e-12	2.94685e-16	8.84499e-08	2.2339400000000002e-20	1.9568499999999998e-20	-2.4059300000000003e-16	3.9113200000000005e-17	5.65322e-22	12.3	4721	4.49616e-21	1.30685e-08	3.19692e-15	5.117480000000001e-34	7.210690000000001e-10	2.5323700000000003e-08	8.660030000000001e-20	1	1.2286700000000002e-19	1.4487700000000002e-20	1.4698599999999999e-22	61676.6	364	1.2689e-22	3.38411e-11	
0.56	367.27	807.23	2.9203e-19	2.4459099999999996e-17	0.00820155	1.7418	2.11871e-12	5.561860000000001e-10	0.15948900000000002	7.44015	0.000728456	0.0987904	32.937	109.913	7.72264e-07	5.61636e-06	2.36801e-22	3.75008e-21	0.7485390000000001	115.251	5.540379999999999e-38	2.43638e-35	17.9813	48.0187	0.0173564	0.000340387	0.00036244900000000004	0.00010489200000000001	3.58875e-05	1.51137e-12	2.0757300000000002e-16	1.1927099999999998e-07	5.311609999999999e-18	4.1370199999999995e-20	-4.7357e-17	2.3194e-17	1.64776e-21	12.3	4721	9.97504e-21	1.84441e-08	5.26027e-15	2.3660799999999998e-33	1.01767e-09	3.1891e-08	1.83389e-19	1	2.65751e-19	3.80366e-20	3.9166800000000005e-22	61030.6	364	2.8151500000000002e-22	4.77612e-11	
0.6	361.6	812.9	6.03244e-19	6.22183e-17	0.00828502	1.7417099999999999	3.09076e-12	7.917769999999999e-10	0.161081	7.43853	0.000735595	0.0987492	33.2369	109.613	9.75076e-07	6.895160000000001e-06	6.16547e-22	9.38325e-21	0.756141	115.244	2.5758699999999995e-37	1.08257e-34	18.1089	47.8911	0.0172965	0.000362629	0.000388153	0.000111838	4.08557e-05	2.0039900000000002e-12	2.0083900000000003e-16	1.5702400000000002e-07	1.35804e-17	8.96718e-20	1.26911e-16	1.70765e-17	4.43807e-21	12.3	4721	2.22183e-20	2.5301999999999997e-08	8.32195e-15	9.74003e-33	1.3960699999999997e-09	3.9406800000000006e-08	3.9812e-19	1	5.84523e-19	9.09033e-20	9.3735e-22	60507.2	364	6.27044e-22	6.552e-11	
0.64	356.964	817.5360000000001	1.2378100000000002e-18	1.23369e-16	0.00835417	1.74165	4.38015e-12	1.0985199999999998e-09	0.16239800000000001	7.437189999999999	0.000741464	0.09870930000000001	33.5086	109.34100000000001	1.208e-06	8.3363e-06	1.49576e-21	2.1952099999999997e-20	0.762439	115.238	1.07201e-36	4.3288e-34	18.2139	47.7861	0.017236900000000003	0.00038462	0.000413758	0.00011868700000000001	4.6034799999999995e-05	2.60172e-12	3.5900300000000007e-16	2.02513e-07	2.68337e-17	1.87612e-19	2.30465e-16	3.13295e-17	1.11449e-20	12.3	4721	4.74291e-20	3.3874e-08	1.27271e-14	3.6292099999999996e-32	1.86905e-09	4.7910900000000006e-08	8.342459999999999e-19	1	1.23751e-18	2.0228300000000002e-19	2.08144e-21	60082.1	364	1.33854e-21	8.77177e-11	
0.68	353.167	821.3330000000001	2.4081799999999998e-18	2.32904e-16	0.0084114	1.7415900000000002	6.05363e-12	1.49036e-09	0.16348900000000002	7.43607	0.0007462739999999999	0.0986706	33.7505	109.09899999999999	1.4722899999999998e-06	9.94559e-06	3.4030300000000006e-21	4.82969e-20	0.767651	115.23200000000001	4.05358e-36	1.57842e-33	18.3003	47.6997	0.017177500000000002	0.000406365	0.000439266	0.000125451	5.1411000000000006e-05	3.3166400000000003e-12	6.17268e-16	2.5654900000000003e-07	5.04807e-17	3.71731e-19	4.01149e-16	5.5108800000000004e-17	2.6264300000000002e-20	12.3	4721	9.58739e-20	4.44022e-08	1.8898500000000002e-14	1.23742e-31	2.44996e-09	5.74408e-08	1.65571e-18	1	2.48167e-18	4.24642e-19	4.35882e-21	59735.8	364	2.70575e-21	1.1498100000000001e-10	
0.72	350.05199999999996	824.448	4.47559e-18	4.2148500000000003e-16	0.00845873	1.74154	8.185019999999999e-12	1.98261e-09	0.16439	7.43515	0.000750206	0.098633	33.9632	108.887	1.7690700000000002e-06	1.17284e-05	7.31087e-21	1.00648e-19	0.771962	115.228	1.40747e-35	5.3000600000000005e-33	18.3714	47.6286	0.0171183	0.00042786699999999996	0.00046467599999999997	0.000132137	5.6971999999999996e-05	4.16105e-12	1.02527e-15	3.1994900000000003e-07	9.103469999999999e-17	7.02791e-19	6.73358e-16	9.337030000000001e-17	5.84565e-20	12.3	4721	1.8487000000000003e-19	5.7137900000000006e-08	2.73453e-14	3.8959999999999998e-31	3.15268e-09	6.803080000000001e-08	3.1357599999999998e-18	1	4.74889e-18	8.47345e-19	8.67642e-21	59453.2	364	5.2173900000000006e-21	1.47961e-10	
0.76	347.49300000000005	827.007	7.992630000000001e-18	7.350380000000001e-16	0.00849785	1.7415	1.08552e-11	2.59202e-09	0.165134	7.43438	0.00075341	0.0985962	34.1482	108.70200000000001	2.09936e-06	1.36898e-05	1.4930100000000003e-20	1.9997299999999998e-19	0.775524	115.22399999999999	4.52636e-35	1.6525599999999996e-32	18.4299	47.5701	0.017059400000000002	0.000449134	0.000489991	0.000138753	6.2706e-05	5.14751e-12	1.6516500000000001e-15	3.9353e-07	1.58202e-16	1.27545e-18	1.0946799999999999e-15	1.53059e-16	1.2363599999999999e-19	12.3	4721	3.42082e-19	7.23408e-08	3.86724e-14	1.14211e-30	3.99154e-09	7.971310000000001e-08	5.701259999999999e-18	1	8.72325e-18	1.61749e-18	1.6523299999999997e-20	59222.1	364	9.65423e-21	1.8733e-10	
0.8	345.389	829.1110000000001	1.3780400000000001e-17	1.24056e-15	0.00853016	1.74147	1.41522e-11	3.33669e-09	0.165749	7.433739999999999	0.000756011	0.0985602	34.308	108.542	2.4640900000000004e-06	1.5834300000000002e-05	2.91547e-20	3.8093799999999997e-19	0.778466	115.22200000000001	1.35852e-34	4.820369999999999e-32	18.4781	47.5219	0.0170007	0.00047017099999999997	0.000515211	0.000145304	6.86023e-05	6.28878e-12	2.5891899999999998e-15	4.78111e-07	2.6607e-16	2.23276e-18	1.72972e-15	2.43662e-16	2.4987899999999996e-19	12.3	4721	6.10376e-19	9.02786e-08	5.35893e-14	3.1407199999999998e-30	4.9813000000000006e-09	9.25174e-08	9.9993e-18	1	1.5456000000000002e-17	2.96933e-18	3.02648e-20	59032.9	364	1.7226e-20	2.33782e-10	
0.84	343.658	830.842	2.30278e-17	2.03348e-15	0.00855685	1.74144	1.81709e-11	4.23617e-09	0.166257	7.4332	0.0007581139999999999	0.09852480000000001	34.4451	108.405	2.8641300000000002e-06	1.81664e-05	5.47139e-20	6.99037e-19	0.780896	115.219	3.831319999999999e-34	1.3241699999999998e-31	18.5179	47.4821	0.0169422	0.000490984	0.000540337	0.000151794	7.4651e-05	7.597789999999999e-12	3.96091e-15	5.745069999999999e-07	4.34607e-16	3.78522e-18	2.66455e-15	3.77883e-16	4.84971e-19	12.3	4721	1.0544e-18	1.11226e-07	7.29191e-14	8.15568e-30	6.13712e-09	1.06471e-07	1.69849e-17	1	2.6519899999999997e-17	5.26504e-18	5.3550800000000005e-20	58877.7	364	2.97571e-20	2.88026e-10	
0.88	342.23199999999997	832.268	3.74185e-17	3.2469900000000003e-15	0.00857888	1.74142	2.30136e-11	5.31137e-09	0.166675	7.432760000000001	0.000759806	0.09849	34.562	108.288	3.30027e-06	2.06898e-05	9.910260000000002e-20	1.2406e-18	0.782903	115.21700000000001	1.0215e-33	3.4459099999999997e-31	18.5506	47.4494	0.016884	0.000511581	0.000565369	0.000158226	8.08424e-05	9.08759e-12	5.927300000000001e-15	6.83528e-07	6.91531e-16	6.235319999999999e-18	4.01184e-15	5.72435e-16	9.07682e-19	12.3	4721	1.76933e-18	1.35463e-07	9.76077e-14	2.01147e-29	7.4745e-09	1.216e-07	2.8034999999999996e-17	1	4.4213000000000003e-17	9.05013e-18	9.18683e-20	58750.4	364	4.99338e-20	3.50792e-10	
0.92	341.05699999999996	833.443	5.92883e-17	5.06343e-15	0.00859707	1.7414	2.87893e-11	6.58458e-09	0.167021	7.43239	0.0007611580000000001	0.0984556	34.6614	108.18799999999999	3.7732300000000005e-06	2.34084e-05	1.73877e-19	2.13652e-18	0.784559	115.215	2.5885699999999997e-33	8.539149999999998e-31	18.5776	47.4224	0.016826	0.000531969	0.000590309	0.00016460299999999998	8.71678e-05	1.07714e-11	8.694580000000001e-15	8.05978e-07	1.0746e-15	1.00085e-17	5.91682e-15	8.489510000000001e-16	1.6442099999999998e-18	12.3	4721	2.8922900000000007e-18	1.63278e-07	1.28733e-13	4.73556e-29	9.009280000000001e-09	1.37928e-07	4.50925e-17	1	7.18223e-17	1.51271e-17	1.53277e-19	58645.7	364	8.162610000000001e-20	4.228219999999999e-10	
0.96	340.089	834.4110000000001	9.18197e-17	7.7283e-15	0.00861209	1.7413900000000002	3.56141e-11	8.07948e-09	0.16730599999999998	7.43208	0.00076223	0.0984216	34.7455	108.104	4.2837e-06	2.63256e-05	2.96423e-19	3.58072e-18	0.785927	115.214	6.26418e-33	2.0241299999999996e-30	18.5998	47.4002	0.016768099999999998	0.000552155	0.000615156	0.000170928	9.36187e-05	1.26623e-11	1.2524200000000001e-14	9.42649e-07	1.63441e-15	1.56921e-17	8.56412e-15	1.23504e-15	2.89159e-18	12.3	4721	4.6170800000000004e-18	1.9496300000000002e-07	1.6751400000000002e-13	1.06886e-28	1.0757600000000001e-08	1.5547599999999998e-07	7.084789999999999e-17	1	1.13959e-16	2.46519e-17	2.49374e-19	58559.7	364	1.30303e-19	5.04874e-10	
1.0	339.29	835.21	1.39279e-16	1.1567100000000001e-14	0.00862448	1.74137	4.36111e-11	9.82106e-09	0.167542	7.43182	0.000763072	0.0983881	34.8164	108.03299999999999	4.8322900000000005e-06	2.94443e-05	4.923160000000001e-19	5.854529999999999e-18	0.7870550000000001	115.213	1.4535899999999997e-32	4.60781e-30	18.6181	47.3819	0.0167106	0.000572145	0.000639912	0.000177202	0.00010018700000000001	1.47739e-11	1.7743299999999998e-14	1.09433e-06	2.43766e-15	2.4082399999999998e-17	1.21855e-14	1.7654900000000002e-15	4.9504e-18	12.3	4721	7.212710000000001e-18	2.30815e-07	2.1531999999999999e-13	2.32167e-28	1.27359e-08	1.74264e-07	1.0896299999999999e-16	1	1.7698400000000001e-16	3.9257700000000003e-17	3.9652899999999997e-19	58488.9	364	2.03557e-19	5.977190000000001e-10	
1.04	338.631	835.8689999999999	2.0729900000000004e-16	1.70056e-14	0.00863472	1.7413599999999998	5.29101e-11	1.18357e-08	0.167736	7.4316	0.000763723	0.0983548	34.8761	107.97399999999999	5.419580000000001e-06	3.27676e-05	7.98436e-19	9.35844e-18	0.787987	115.212	3.24609e-32	1.01084e-29	18.6332	47.3668	0.0166532	0.000591947	0.0006645760000000001	0.000183426	0.000106865	1.71193e-11	2.47572e-14	1.26178e-06	3.5711599999999994e-15	3.62429e-17	1.70685e-14	2.4835899999999998e-15	8.26951e-18	12.3	4721	1.10468e-17	2.7113800000000003e-07	2.7368e-13	4.8690499999999995e-28	1.49608e-08	1.94312e-07	1.64345e-16	1	2.69529e-16	6.12125e-17	6.17466e-19	58430.5	364	3.1176099999999997e-19	7.0214e-10	
1.08	338.087	836.413	3.03221e-16	2.45932e-14	0.00864317	1.7413599999999998	6.36477e-11	1.4151e-08	0.16789600000000002	7.4314100000000005	0.000764217	0.09832189999999999	34.9263	107.92299999999999	6.046119999999999e-06	3.62979e-05	1.26699e-18	1.46528e-17	0.7887569999999999	115.211	6.998469999999999e-32	2.1435300000000002e-29	18.6457	47.3543	0.016596	0.000611566	0.00068915	0.000189601	0.000113647	1.97119e-11	3.4062300000000004e-14	1.44578e-06	5.14641e-15	5.3573400000000005e-17	2.35662e-14	3.4426699999999996e-15	1.3506500000000001e-17	12.3	4721	1.6614200000000002e-17	3.16237e-07	3.4429e-13	9.887899999999999e-28	1.74494e-08	2.15635e-07	2.43474e-16	1	4.0314199999999996e-16	9.361580000000001e-17	9.43234e-19	58382.5	364	4.68885e-19	8.189310000000001e-10	
1.12	337.63800000000003	836.862	4.3648999999999997e-16	3.50313e-14	0.00865014	1.74135	7.59671e-11	1.6796e-08	0.168028	7.431260000000001	0.0007645810000000001	0.0982892	34.9683	107.881	6.7124e-06	4.0037800000000005e-05	1.97065e-18	2.25091e-17	0.789392	115.211	1.46079e-31	4.4054799999999993e-29	18.656	47.343999999999994	0.016539099999999998	0.00063101	0.000713633	0.000195729	0.000120524	2.25652e-11	4.6261400000000003e-14	1.6470500000000002e-06	7.30495e-15	7.78921e-17	3.21082e-14	4.70778e-15	2.16077e-17	12.3	4721	2.45725e-17	3.66424e-07	4.29025e-13	1.9493399999999998e-27	2.02186e-08	2.38249e-07	3.54801e-16	1	5.93072e-16	1.4064299999999998e-16	1.41566e-18	58342.9	364	6.93483e-19	9.488979999999999e-10	
1.16	337.267	837.2330000000001	6.191269999999999e-16	4.92054e-14	0.0086559	1.74134	9.00182e-11	1.98008e-08	0.16813699999999998	7.43112	0.00076484	0.0982568	35.0034	107.846	7.418860000000001e-06	4.39893e-05	3.0090499999999994e-18	3.39746e-17	0.789917	115.21	2.95933e-31	8.79651e-29	18.6645	47.3355	0.0164824	0.000650285	0.0007380269999999999	0.000201812	0.00012749	2.56925e-11	6.20797e-14	1.86634e-06	1.0224600000000001e-14	1.1153299999999999e-16	4.32121e-14	6.35749e-15	3.3913199999999996e-17	12.3	4721	3.5784299999999995e-17	4.2201300000000003e-07	5.29945e-13	3.73914e-27	2.3285999999999998e-08	2.6216799999999997e-07	5.09211e-16	1	8.59211e-16	2.07842e-16	2.09036e-18	58310.3	364	1.0099000000000001e-18	1.09285e-09	
1.2	336.961	837.539	8.662649999999999e-16	6.82225e-14	0.00866066	1.74134	1.0595700000000001e-10	2.31969e-08	0.168227	7.431010000000001	0.00076501	0.09822460000000001	35.0328	107.81700000000001	8.165939999999999e-06	4.8154399999999994e-05	4.51685e-18	5.04514e-17	0.79035	115.21	5.831509999999999e-31	1.7100099999999997e-28	18.6715	47.3285	0.0164259	0.000669396	0.0007623310000000001	0.000207848	0.00013454	2.9107e-11	8.23827e-14	2.10436e-06	1.4126499999999998e-14	1.57458e-16	5.74968e-14	8.486010000000001e-15	5.22921e-17	12.3	4721	5.1368900000000004e-17	4.83322e-07	6.49307e-13	6.99246e-27	2.6669000000000002e-08	2.87405e-07	7.20573e-16	1	1.22721e-15	3.0249700000000003e-16	3.04041e-18	58283.3	364	1.4497299999999997e-18	1.2516300000000002e-09	
1.24	336.708	837.7919999999999	1.19678e-15	9.34538e-14	0.00866459	1.7413299999999998	1.23947e-10	2.70169e-08	0.168302	7.430910000000001	0.0007651089999999999	0.0981926	35.0572	107.792	8.95401e-06	5.2535e-05	6.67368e-18	7.3794e-17	0.7907069999999999	115.209	1.11997e-30	3.2425199999999997e-28	18.6773	47.3227	0.0163696	0.000688348	0.000786547	0.000213841	0.000141667	3.2821999999999994e-11	1.0819600000000001e-13	2.36181e-06	1.9283099999999998e-14	2.1938800000000002e-16	7.56966e-14	1.12053e-14	7.93157e-17	12.3	4721	7.276289999999999e-17	5.50672e-07	7.895699999999999e-13	1.27715e-26	3.0385400000000006e-08	3.1397099999999997e-07	1.00638e-15	1	1.7298300000000001e-15	4.34063e-16	4.360719999999999e-18	58261.1	364	2.05351e-18	1.4260400000000002e-09	
