time	IkBat	IkBa	IkBan	IkBaIKK	IkBaNFkB	IkBaNFkBn	IkBaIKKNFkB	NFkB	IKK	NFkBn	IkBbIKK	IkBbIKKNFkB	IkBbNFkBn	IkBbNFkB	IkBbn	IkBb	IkBbt	IkBet	IkBe	IkBen	IkBeNFkB	IkBeNFkBn	IkBeIKKNFkB	IkBeIKK	alues[Total_IkBalpha	alues[Total_IkBbeta	alues[Total_IkBeps	nnamed: 2
800	0.011793999999999999	0.020918400000000004	0.00179549	6.06805e-05	0.053898400000000006	0.00016848700000000002	0.00043624699999999996	3.32998e-05	0.00031710099999999997	0.00259026	2.82252e-06	0.000123461	3.94461e-05	0.0304282	0.000210205	0.00314964	0.00254285	0.00181428	0.00224407	0.000149767	0.0121971	2.81047e-05	5.6958e-05	2.7299e-06	0.07727769999999999	0.0339538	0.014678700000000001	
880	0.0117899	0.0209113	0.00179649	6.0710699999999995e-05	0.0536649	0.00016817400000000002	0.000434715	3.32389e-05	0.000317365	0.002584	2.82513e-06	0.000123875	3.9379000000000004e-05	0.0305045	0.00021035599999999998	0.0031497	0.00254286	0.00181429	0.00224415	0.000149877	0.0123614	2.80573e-05	5.77767e-05	2.73265e-06	0.0770363	0.0340307	0.014844	
960	0.0117861	0.0209049	0.00179742	6.07384e-05	0.0534523	0.000167888	0.00043331699999999996	3.31834e-05	0.000317605	0.0025783	2.82751e-06	0.000124253	3.93177e-05	0.0305738	0.000210494	0.00314976	0.00254286	0.00181429	0.00224422	0.000149978	0.0125111	2.8014e-05	5.85242e-05	2.73516e-06	0.0768165	0.0341005	0.0149946	
1040	0.011782700000000002	0.020899099999999997	0.00179826	6.07635e-05	0.0532587	0.000167628	0.000432043	3.31327e-05	0.000317824	0.00257311	2.82968e-06	0.000124596	3.92618e-05	0.030636700000000003	0.00021062	0.00314981	0.00254286	0.00181429	0.00224428	0.000150069	0.0126476	2.7974499999999998e-05	5.9206499999999996e-05	2.73744e-06	0.07661649999999999	0.0341638	0.015131899999999998	
1120	0.011779600000000001	0.020893799999999997	0.00179903	6.07865e-05	0.0530826	0.000167391	0.000430881	3.3086599999999996e-05	0.00031802400000000003	0.00256837	2.8316500000000002e-06	0.000124908	3.92108e-05	0.0306938	0.000210735	0.00314986	0.00254286	0.00181429	0.00224434	0.00015015299999999998	0.012772	2.79385e-05	5.98291e-05	2.73952e-06	0.0764345	0.0342213	0.015257	
1200	0.011776799999999999	0.020888999999999998	0.00179973	6.0807399999999997e-05	0.052922300000000005	0.000167175	0.000429823	3.30446e-05	0.00031820599999999997	0.00256406	2.8334500000000004e-06	0.00012519200000000002	3.91643e-05	0.0307455	0.00021083900000000002	0.0031499	0.00254286	0.00181429	0.00224439	0.000150229	0.012885399999999998	2.79056e-05	6.0397200000000005e-05	2.74142e-06	0.0762688	0.0342735	0.015371100000000002	
1280	0.0117743	0.020884599999999996	0.00180037	6.08265e-05	0.0527764	0.00016697900000000002	0.000428859	3.30063e-05	0.00031837099999999996	0.00256014	2.8350799999999996e-06	0.000125449	3.91219e-05	0.0307925	0.00021093400000000002	0.00314994	0.00254286	0.00181429	0.00224444	0.000150298	0.0129887	2.78757e-05	6.09154e-05	2.7431400000000003e-06	0.07611810000000001	0.034320800000000005	0.015475	
1360	0.011772	0.0208806	0.00180096	6.08439e-05	0.0526437	0.00016680000000000002	0.00042798099999999997	3.29715e-05	0.000318522	0.00255657	2.8365699999999997e-06	0.00012568399999999998	3.90833e-05	0.0308351	0.00021102099999999998	0.00314997	0.00254286	0.00181429	0.00224448	0.000150361	0.013082900000000001	2.7848400000000003e-05	6.13879e-05	2.74472e-06	0.07598089999999999	0.0343637	0.0155697	
1440	0.0117699	0.020877	0.00180149	6.08597e-05	0.052523	0.000166637	0.00042718199999999996	3.29397e-05	0.000318659	0.00255332	2.83793e-06	0.00012589600000000002	3.9048099999999996e-05	0.030873599999999998	0.00021109999999999998	0.00315	0.00254286	0.00181429	0.00224452	0.000150419	0.013168700000000002	2.7823600000000002e-05	6.18189e-05	2.74615e-06	0.0758562	0.034402499999999996	0.015656	
1520	0.0117679	0.0208737	0.00180197	6.08741e-05	0.05241319999999999	0.00016648799999999998	0.000426454	3.29108e-05	0.000318784	0.00255036	2.83916e-06	0.000126089	3.90161e-05	0.0309086	0.000211172	0.00315003	0.00254286	0.00181429	0.00224456	0.000150471	0.0132468	2.7801e-05	6.22118e-05	2.74745e-06	0.0757427	0.034437800000000005	0.0157346	
1600	0.011766200000000001	0.0208707	0.00180242	6.08872e-05	0.0523134	0.000166353	0.000425792	3.28846e-05	0.00031889799999999997	0.00254767	2.84029e-06	0.000126264	3.89869e-05	0.0309403	0.00021123799999999999	0.00315006	0.00254286	0.00181429	0.00224459	0.000150519	0.013318	2.77804e-05	6.25701e-05	2.7486400000000005e-06	0.0756395	0.03446969999999999	0.0158063	
1680	0.0117646	0.020868	0.00180282	6.08991e-05	0.052222500000000005	0.00016623	0.000425189	3.28606e-05	0.00031900099999999996	0.00254522	2.8413099999999997e-06	0.000126423	3.89604e-05	0.030969	0.00021129799999999998	0.00315008	0.00254286	0.00181429	0.00224463	0.000150562	0.013382900000000001	2.77616e-05	6.28966e-05	2.74972e-06	0.0755457	0.0344986	0.0158715	
1760	0.0117632	0.020865599999999998	0.00180319	6.091e-05	0.0521399	0.00016611799999999998	0.00042464	3.28389e-05	0.000319095	0.00254299	2.84224e-06	0.000126568	3.89362e-05	0.030994999999999998	0.00021135200000000002	0.0031501	0.00254286	0.00181429	0.00224465	0.000150602	0.013441999999999999	2.7744600000000002e-05	6.31943e-05	2.7506999999999998e-06	0.0754604	0.0345248	0.015931	
1840	0.0117619	0.020863299999999998	0.00180352	6.09199e-05	0.0520649	0.00016601700000000002	0.000424141	3.28191e-05	0.000319181	0.00254097	2.84308e-06	0.00012669799999999999	3.89142e-05	0.0310185	0.00021140099999999998	0.00315012	0.00254286	0.00181429	0.00224468	0.000150638	0.0134959	2.7729e-05	6.34655e-05	2.7516e-06	0.0753828	0.0345485	0.0159851	
1920	0.0117607	0.0208613	0.00180383	6.0928900000000005e-05	0.051996600000000004	0.00016592400000000002	0.00042368699999999996	3.28011e-05	0.000319258	0.00253912	2.84385e-06	0.00012681700000000002	3.88942e-05	0.031039799999999996	0.00021144599999999998	0.00315014	0.00254286	0.00181429	0.0022447	0.000150671	0.013544899999999999	2.7714899999999998e-05	6.371279999999999e-05	2.75241e-06	0.0753122	0.0345699	0.0160345	
2000	0.0117596	0.020859400000000004	0.0018041	6.0936999999999996e-05	0.0519345	0.00016584	0.000423274	3.27847e-05	0.00031932900000000003	0.00253745	2.8445499999999997e-06	0.000126924	3.8876e-05	0.0310591	0.000211487	0.00315016	0.00254286	0.00181429	0.00224472	0.00015069999999999998	0.013589600000000002	2.77021e-05	6.39381e-05	2.75315e-06	0.07524810000000001	0.0345894	0.016079399999999997	
2080	0.0117586	0.0208577	0.00180436	6.09445e-05	0.051878099999999996	0.00016576400000000002	0.000422898	3.27698e-05	0.000319393	0.00253593	2.8451799999999998e-06	0.000127021	3.8859499999999996e-05	0.0310765	0.00021152400000000002	0.00315017	0.00254286	0.00181429	0.00224474	0.000150727	0.0136303	2.76904e-05	6.41434e-05	2.75382e-06	0.0751898	0.0346069	0.0161204	
2160	0.011757700000000001	0.020856200000000002	0.00180458	6.09512e-05	0.051826800000000006	0.000165694	0.00042255699999999995	3.2756300000000003e-05	0.000319452	0.00253454	2.8457599999999997e-06	0.00012711	3.88445e-05	0.031092200000000004	0.00021155799999999998	0.00315018	0.00254286	0.00181429	0.00224476	0.000150752	0.013667400000000001	2.76798e-05	6.43305e-05	2.75444e-06	0.0751368	0.0346228	0.0161577	
2240	0.0117569	0.0208548	0.00180479	6.09574e-05	0.051780200000000005	0.000165631	0.000422246	3.2744000000000004e-05	0.000319505	0.00253328	2.84628e-06	0.000127189	3.88308e-05	0.0311065	0.000211589	0.0031501999999999997	0.00254286	0.00181429	0.00224477	0.000150774	0.0137012	2.76701e-05	6.45009e-05	2.75499e-06	0.0750887	0.0346371	0.0161917	
2320	0.011756200000000001	0.020853599999999996	0.00180498	6.0963e-05	0.05173780000000001	0.000165574	0.00042196400000000004	3.27328e-05	0.000319553	0.00253214	2.8467599999999997e-06	0.000127262	3.88183e-05	0.031119400000000002	0.00021161700000000002	0.00315021	0.00254286	0.00181429	0.00224479	0.000150795	0.013732	2.7661300000000002e-05	6.46562e-05	2.7555e-06	0.0750449	0.034650099999999996	0.0162227	
2400	0.0117555	0.0208524	0.00180516	6.0968e-05	0.051699300000000004	0.000165521	0.00042170699999999995	3.27227e-05	0.000319597	0.0025311	2.8471899999999998e-06	0.000127327	3.8806999999999996e-05	0.031131	0.000211642	0.00315022	0.00254286	0.00181429	0.0022448	0.000150813	0.013760099999999999	2.7653400000000002e-05	6.47978e-05	2.75596e-06	0.0750051	0.034661800000000006	0.0162509	
2480	0.011754899999999999	0.020851400000000003	0.00180531	6.09726e-05	0.0516643	0.000165474	0.000421473	3.2713400000000004e-05	0.000319637	0.00253016	2.84758e-06	0.000127386	3.87968e-05	0.031141500000000003	0.000211665	0.00315023	0.00254286	0.00181429	0.00224481	0.00015083	0.0137856	2.7646100000000003e-05	6.49267e-05	2.75638e-06	0.07496900000000001	0.0346724	0.0162766	
2560	0.0117544	0.0208504	0.00180545	6.09768e-05	0.0516326	0.00016543099999999998	0.000421261	3.27051e-05	0.000319673	0.0025293000000000004	2.8479400000000006e-06	0.00012744	3.87874e-05	0.031150999999999998	0.000211686	0.00315023	0.00254286	0.00181429	0.00224482	0.000150845	0.0138089	2.76395e-05	6.50442e-05	2.7567599999999998e-06	0.0749361	0.034682	0.0163	
2640	0.0117539	0.0208496	0.00180558	6.0980600000000004e-05	0.051603699999999995	0.00016539200000000002	0.000421069	3.2697399999999996e-05	0.000319706	0.00252852	2.8482599999999996e-06	0.00012748799999999998	3.8779e-05	0.031159500000000003	0.000211705	0.00315024	0.00254286	0.00181429	0.00224483	0.000150859	0.013830100000000001	2.76335e-05	6.51512e-05	2.7571e-06	0.0749063	0.0346906	0.0163213	
2720	0.011753399999999999	0.0208488	0.0018057000000000001	6.09841e-05	0.0515774	0.000165356	0.00042089300000000004	3.26905e-05	0.000319736	0.00252781	2.84856e-06	0.000127532	3.87712e-05	0.031167200000000003	0.000211723	0.00315025	0.00254286	0.00181429	0.00224484	0.000150872	0.0138494	2.76281e-05	6.52487e-05	2.75742e-06	0.07487919999999999	0.0346983	0.0163408	
2800	0.011753	0.020848099999999998	0.00180581	6.0987200000000005e-05	0.05155359999999999	0.000165324	0.00042073400000000003	3.26842e-05	0.000319763	0.00252717	2.8488299999999997e-06	0.00012757100000000002	3.8764200000000004e-05	0.031174200000000003	0.000211738	0.00315025	0.00254286	0.00181429	0.00224485	0.00015088299999999999	0.013866999999999999	2.76231e-05	6.53376e-05	2.7577e-06	0.07485449999999999	0.034705400000000004	0.0163585	
2880	0.0117526	0.020847499999999998	0.00180591	6.0990100000000004e-05	0.0515319	0.000165295	0.000420589	3.26785e-05	0.000319788	0.00252659	2.84907e-06	0.000127607	3.87579e-05	0.031180400000000004	0.000211753	0.00315026	0.00254286	0.00181429	0.00224486	0.000150894	0.013883100000000002	2.76187e-05	6.541859999999999e-05	2.75796e-06	0.0748322	0.0347117	0.0163746	
2960	0.0117523	0.0208469	0.00180599	6.09927e-05	0.051512300000000004	0.000165268	0.000420458	3.26733e-05	0.00031981	0.00252606	2.84929e-06	0.000127639	3.87521e-05	0.031186099999999998	0.000211765	0.00315026	0.00254286	0.00181429	0.00224487	0.000150903	0.0138977	2.76146e-05	6.54924e-05	2.7582e-06	0.07481180000000001	0.0347174	0.0163893	
3040	0.011752	0.020846299999999998	0.00180607	6.0995e-05	0.051494399999999996	0.00016524400000000002	0.000420339	3.26686e-05	0.00031983099999999997	0.00252558	2.84949e-06	0.000127668	3.87469e-05	0.031191200000000002	0.00021177700000000002	0.00315027	0.00254286	0.00181429	0.00224487	0.000150912	0.013911000000000001	2.76109e-05	6.55596e-05	2.75841e-06	0.0747934	0.0347225	0.016402700000000003	
3120	0.0117517	0.0208459	0.00180615	6.09972e-05	0.051478199999999995	0.000165222	0.00042023	3.26643e-05	0.00031984900000000003	0.00252514	2.84967e-06	0.000127695	3.87421e-05	0.031195799999999996	0.000211788	0.00315027	0.00254286	0.00181429	0.00224488	0.00015092	0.0139232	2.76075e-05	6.56208e-05	2.75861e-06	0.07477660000000001	0.0347271	0.0164149	
3200	0.0117514	0.0208454	0.00180621	6.09991e-05	0.0514634	0.000165202	0.00042013099999999997	3.2660500000000003e-05	0.000319866	0.00252474	2.84983e-06	0.000127718	3.87378e-05	0.031199900000000003	0.000211798	0.00315028	0.00254286	0.00181429	0.00224488	0.000150927	0.0139342	2.76045e-05	6.56766e-05	2.75878e-06	0.07476139999999999	0.03473130000000001	0.0164261	
3280	0.0117512	0.020845	0.00180627	6.10009e-05	0.05145	0.00016518400000000002	0.000420042	3.26569e-05	0.000319881	0.00252438	2.84998e-06	0.00012774	3.87338e-05	0.0312036	0.00021180599999999998	0.00315028	0.00254286	0.00181429	0.00224489	0.00015093299999999999	0.013944299999999998	2.76017e-05	6.57275e-05	2.7589400000000002e-06	0.07474760000000001	0.034735	0.016436199999999998	
3360	0.011751000000000001	0.0208447	0.00180633	6.10025e-05	0.0514379	0.000165167	0.000419961	3.26537e-05	0.000319895	0.00252406	2.85012e-06	0.000127759	3.8730300000000004e-05	0.031206900000000003	0.000211814	0.00315028	0.00254286	0.00181429	0.00224489	0.000150939	0.013953499999999999	2.75992e-05	6.57739e-05	2.75909e-06	0.074735	0.03473830000000001	0.016445500000000002	
3440	0.011750799999999999	0.0208443	0.00180638	6.10039e-05	0.0514269	0.000165152	0.000419887	3.26508e-05	0.000319907	0.00252376	2.85024e-06	0.000127776	3.8727e-05	0.0312099	0.00021182200000000002	0.00315029	0.00254286	0.00181429	0.00224489	0.000150944	0.0139619	2.75969e-05	6.58161e-05	2.7592200000000003e-06	0.07472360000000002	0.0347414	0.0164539	
3520	0.0117506	0.020844	0.00180642	6.10052e-05	0.0514168	0.00016513900000000002	0.00041982	3.2648200000000004e-05	0.000319919	0.00252349	2.85035e-06	0.000127792	3.87241e-05	0.031212599999999997	0.000211828	0.00315029	0.00254286	0.00181429	0.0022449	0.000150949	0.0139695	2.75948e-05	6.58546e-05	2.7593400000000002e-06	0.07471330000000001	0.0347441	0.0164616	
3600	0.011750499999999999	0.0208438	0.00180646	6.1006400000000006e-05	0.0514077	0.00016512700000000002	0.000419759	3.26458e-05	0.000319929	0.00252324	2.85045e-06	0.000127806	3.87214e-05	0.031214999999999996	0.00021183400000000002	0.00315029	0.00254286	0.00181429	0.0022449	0.000150953	0.0139765	2.7593e-05	6.58897e-05	2.75945e-06	0.0747039	0.0347465	0.016468599999999996	
3680	0.011750299999999998	0.0208435	0.0018065000000000002	6.10075e-05	0.0513995	0.000165115	0.000419704	3.26436e-05	0.00031993900000000004	0.00252302	2.85055e-06	0.000127818	3.8719e-05	0.031217099999999998	0.00021184	0.00315029	0.00254286	0.00181429	0.0022449	0.000150957	0.0139828	2.75913e-05	6.59217e-05	2.7595499999999997e-06	0.0746954	0.034748699999999993	0.016475	
3760	0.0117502	0.0208433	0.00180653	6.1008500000000004e-05	0.05139199999999999	0.000165105	0.000419654	3.26417e-05	0.000319947	0.00252282	2.85063e-06	0.00012783	3.87168e-05	0.031219099999999996	0.000211845	0.00315029	0.00254286	0.00181429	0.00224491	0.000150961	0.0139886	2.7589699999999998e-05	6.59509e-05	2.75964e-06	0.0746876	0.0347506	0.0164808	
3840	0.011750100000000001	0.0208431	0.00180656	6.10094e-05	0.0513852	0.000165096	0.000419608	3.26399e-05	0.000319955	0.00252264	2.8507e-06	0.00012784	3.87148e-05	0.031220799999999996	0.000211849	0.0031503	0.00254286	0.00181429	0.00224491	0.00015096399999999999	0.0139939	2.7588299999999998e-05	6.59774e-05	2.7597199999999997e-06	0.0746806	0.0347523	0.0164861	
3920	0.01175	0.0208429	0.00180659	6.101020000000001e-05	0.051378999999999994	0.000165088	0.000419567	3.26383e-05	0.000319962	0.00252247	2.85077e-06	0.000127849	3.8713e-05	0.0312223	0.000211853	0.0031503	0.00254286	0.00181429	0.00224491	0.000150967	0.0139987	2.7587e-05	6.60017e-05	2.7598000000000002e-06	0.0746742	0.0347539	0.016490900000000003	
4000	0.011749899999999999	0.020842799999999998	0.00180662	6.10109e-05	0.05137340000000001	0.00016508	0.00041952900000000003	3.26368e-05	0.000319968	0.00252232	2.85083e-06	0.00012785700000000002	3.87114e-05	0.031223700000000004	0.000211857	0.0031503	0.00254286	0.00181429	0.00224491	0.00015097	0.014003100000000001	2.7585900000000003e-05	6.60238e-05	2.7598599999999998e-06	0.0746684	0.0347553	0.0164954	
