time	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s26	s27	nnamed: 5
24.0	1.14629	1.14788	1.14619	1.14678	1.14801	1.15072	1.1482	1.15113	1.15757	1.14947	1.15088	1.14947	1.14869	1.15509	1.15994	1.16193	1.16254	1.16209	1.15495	1.16323	1.1663	1.16428	1.1653799999999999	1.1658899999999999	1.1653799999999999	1.16596	1.1671	1.16753	1.16794	1.16612	1.1671799999999999	1.16723	1.1677799999999998	1.1668399999999999	1.16757	1.16723	1.1677799999999998	1.1668399999999999	1.16757	1.16621	1.16723	1.16621	1.16723	1.16621	1.16723	1.1672799999999999	1.1672799999999999	1.1672799999999999	1.1672799999999999	1.16747	1.16706	1.16706	
26.4	1.15059	1.15172	1.1505100000000001	1.15094	1.15182	1.15377	1.15196	1.15406	1.15869	1.15287	1.15388	1.15287	1.15231	1.15691	1.16039	1.16182	1.16226	1.16193	1.1568100000000001	1.16276	1.16496	1.16351	1.1643	1.16467	1.1643	1.1647100000000001	1.16553	1.16585	1.16614	1.16483	1.16559	1.16563	1.16602	1.16535	1.16587	1.16563	1.16602	1.16535	1.16587	1.1649	1.16563	1.1649	1.16563	1.1649	1.16563	1.1656600000000001	1.1656600000000001	1.1656600000000001	1.1656600000000001	1.1658	1.16551	1.16551	
28.8	1.15367	1.15449	1.15362	1.15392	1.15456	1.15595	1.15465	1.1561700000000001	1.15949	1.15531	1.15604	1.15531	1.15491	1.15821	1.1607100000000001	1.16174	1.16205	1.16182	1.15814	1.16241	1.1640000000000001	1.16295	1.16352	1.1637899999999999	1.16352	1.16382	1.16441	1.1646299999999998	1.1648399999999999	1.1639	1.16445	1.1644700000000001	1.16476	1.16428	1.16465	1.1644700000000001	1.16476	1.16428	1.16465	1.16395	1.16448	1.16395	1.16448	1.16395	1.16448	1.1645	1.1645	1.1645	1.1645	1.1646	1.16439	1.16439	
31.2	1.1558899999999999	1.15647	1.15585	1.1560700000000002	1.15652	1.15753	1.15659	1.1576799999999998	1.1600700000000002	1.15706	1.15759	1.15706	1.15677	1.15915	1.1609399999999999	1.1616799999999998	1.16191	1.16174	1.1591	1.1621700000000001	1.1633	1.16255	1.16296	1.16315	1.16296	1.1631799999999999	1.1636	1.1637600000000001	1.16391	1.16324	1.16363	1.16365	1.16385	1.1635	1.16377	1.16365	1.16385	1.1635	1.16377	1.16327	1.16365	1.16327	1.16365	1.16327	1.16365	1.16367	1.16367	1.16367	1.16367	1.16374	1.16359	1.16359	
33.6	1.1574799999999998	1.1579	1.15745	1.15761	1.15794	1.15866	1.1579899999999999	1.15877	1.16048	1.15832	1.1587	1.15832	1.15812	1.15982	1.16111	1.16164	1.1618	1.1616799999999998	1.15978	1.1619899999999999	1.1628100000000001	1.1622700000000001	1.16256	1.1627	1.16256	1.16272	1.1630200000000002	1.16314	1.16324	1.16276	1.16304	1.16305	1.1632	1.16295	1.16314	1.16305	1.1632	1.16295	1.16314	1.16278	1.16306	1.16278	1.16306	1.16278	1.16306	1.16307	1.16307	1.16307	1.16307	1.1631200000000002	1.16301	1.16301	
36.0	1.15862	1.1589200000000002	1.1586	1.1587100000000001	1.15895	1.15947	1.15899	1.15955	1.16078	1.15923	1.1595	1.15923	1.1590799999999999	1.1603	1.16123	1.16161	1.16173	1.16164	1.16028	1.1618600000000001	1.16245	1.16206	1.1622700000000001	1.1623700000000001	1.1622700000000001	1.16238	1.1626	1.16269	1.16276	1.16241	1.16262	1.1626299999999998	1.1627299999999998	1.16255	1.16269	1.1626299999999998	1.1627299999999998	1.16255	1.16269	1.1624299999999999	1.1626299999999998	1.1624299999999999	1.1626299999999998	1.1624299999999999	1.1626299999999998	1.16264	1.16264	1.16264	1.16264	1.16267	1.1626	1.1626	
38.4	1.15944	1.1596600000000001	1.15943	1.15951	1.1596799999999998	1.16005	1.1597	1.16011	1.16099	1.15988	1.1600700000000002	1.15988	1.15977	1.16065	1.1613200000000001	1.16159	1.1616799999999998	1.16161	1.1606299999999998	1.16177	1.16219	1.16191	1.1620700000000002	1.16214	1.1620700000000002	1.16215	1.1623	1.16236	1.16242	1.1621700000000001	1.16231	1.16232	1.1624	1.1622700000000001	1.1623700000000001	1.16232	1.1624	1.1622700000000001	1.1623700000000001	1.16218	1.16232	1.16218	1.16232	1.16218	1.16232	1.1623299999999999	1.1623299999999999	1.1623299999999999	1.1623299999999999	1.16235	1.1623	1.1623	
40.8	1.16003	1.16019	1.16002	1.16008	1.1602	1.1604700000000001	1.16022	1.16051	1.16115	1.16035	1.16049	1.16035	1.1602700000000001	1.1609	1.1613799999999999	1.1615799999999998	1.16164	1.16159	1.16089	1.16171	1.16201	1.16181	1.16192	1.1619700000000002	1.16192	1.1619700000000002	1.16209	1.1621299999999999	1.1621700000000001	1.1619899999999999	1.1621	1.1621	1.16215	1.16206	1.1621299999999999	1.1621	1.16215	1.16206	1.1621299999999999	1.162	1.1621	1.162	1.1621	1.162	1.1621	1.16211	1.16211	1.16211	1.16211	1.16212	1.16208	1.16208	
43.2	1.16046	1.16057	1.16045	1.16049	1.16058	1.16077	1.16059	1.1608	1.16126	1.16068	1.16078	1.16068	1.1606299999999998	1.16108	1.1614200000000001	1.16157	1.16161	1.1615799999999998	1.16107	1.1616600000000001	1.16188	1.16173	1.16181	1.16185	1.16181	1.16185	1.16193	1.16196	1.1619899999999999	1.1618600000000001	1.16194	1.16194	1.16198	1.16191	1.1619700000000002	1.16194	1.16198	1.16191	1.1619700000000002	1.1618700000000002	1.16194	1.1618700000000002	1.16194	1.1618700000000002	1.16194	1.16195	1.16195	1.16195	1.16195	1.16196	1.16193	1.16193	
45.6	1.16076	1.1608399999999999	1.16076	1.16079	1.16085	1.16099	1.16086	1.16101	1.16134	1.1609200000000002	1.161	1.1609200000000002	1.16088	1.16121	1.16146	1.16156	1.16159	1.16157	1.1612	1.16162	1.16178	1.1616799999999998	1.16173	1.1617600000000001	1.16173	1.1617600000000001	1.16182	1.16184	1.1618600000000001	1.16177	1.16183	1.16183	1.1618600000000001	1.16181	1.16185	1.16183	1.1618600000000001	1.16181	1.16185	1.16178	1.16183	1.16178	1.16183	1.16178	1.16183	1.16183	1.16183	1.16183	1.16183	1.16184	1.16182	1.16182	
48.0	1.16098	1.16104	1.16098	1.161	1.16104	1.16114	1.16105	1.16116	1.16139	1.1611	1.16115	1.1611	1.16107	1.1613	1.1614799999999998	1.16155	1.1615799999999998	1.16156	1.1613	1.1616	1.16171	1.16164	1.1616799999999998	1.1617	1.1616799999999998	1.1617	1.16174	1.1617600000000001	1.16177	1.16171	1.16175	1.16175	1.16177	1.16173	1.1617600000000001	1.16175	1.16177	1.16173	1.1617600000000001	1.16171	1.16175	1.16171	1.16175	1.16171	1.16175	1.16175	1.16175	1.16175	1.16175	1.1617600000000001	1.16174	1.16174	
50.4	1.16114	1.1611799999999999	1.16113	1.16115	1.1611799999999999	1.16125	1.16119	1.16126	1.16143	1.1612200000000001	1.16126	1.1612200000000001	1.1612	1.16137	1.1615	1.16155	1.16156	1.16155	1.16137	1.1615799999999998	1.1616600000000001	1.16161	1.16164	1.16165	1.16164	1.16165	1.1616799999999998	1.1617	1.16171	1.1616600000000001	1.16169	1.16169	1.1617	1.1616799999999998	1.1617	1.16169	1.1617	1.1616799999999998	1.1617	1.1616600000000001	1.16169	1.1616600000000001	1.16169	1.1616600000000001	1.16169	1.16169	1.16169	1.16169	1.16169	1.16169	1.1616799999999998	1.1616799999999998	
52.8	1.16125	1.1612799999999999	1.16125	1.16126	1.1612799999999999	1.16133	1.16129	1.16134	1.16146	1.16131	1.16134	1.16131	1.1613	1.1614200000000001	1.16151	1.16155	1.16156	1.16155	1.16141	1.16157	1.16163	1.16159	1.16161	1.16162	1.16161	1.16162	1.16164	1.16165	1.1616600000000001	1.16162	1.16165	1.16165	1.1616600000000001	1.16164	1.16165	1.16165	1.1616600000000001	1.16164	1.16165	1.16163	1.16165	1.16163	1.16165	1.16163	1.16165	1.16165	1.16165	1.16165	1.16165	1.16165	1.16164	1.16164	
55.2	1.16133	1.16135	1.16133	1.16134	1.16135	1.16139	1.16136	1.1614	1.1614799999999998	1.16137	1.16139	1.16137	1.16136	1.16145	1.16152	1.16154	1.16155	1.16155	1.16145	1.16156	1.1616	1.1615799999999998	1.16159	1.1616	1.16159	1.1616	1.16161	1.16162	1.16163	1.1616	1.16162	1.16162	1.16162	1.16161	1.16162	1.16162	1.16162	1.16161	1.16162	1.1616	1.16162	1.1616	1.16162	1.1616	1.16162	1.16162	1.16162	1.16162	1.16162	1.16162	1.16161	1.16161	
57.6	1.16139	1.16141	1.16139	1.16139	1.16141	1.16143	1.16141	1.16144	1.1615	1.1614200000000001	1.16143	1.1614200000000001	1.16141	1.1614799999999998	1.16152	1.16154	1.16155	1.16154	1.16147	1.16156	1.1615799999999998	1.16157	1.1615799999999998	1.1615799999999998	1.1615799999999998	1.1615799999999998	1.16159	1.1616	1.1616	1.1615799999999998	1.16159	1.16159	1.1616	1.16159	1.1616	1.16159	1.1616	1.16159	1.1616	1.1615799999999998	1.16159	1.1615799999999998	1.16159	1.1615799999999998	1.16159	1.16159	1.16159	1.16159	1.16159	1.1616	1.16159	1.16159	
60.0	1.16143	1.16144	1.16143	1.16144	1.16144	1.16146	1.16145	1.16147	1.16151	1.16145	1.16146	1.16145	1.16145	1.16149	1.16153	1.16154	1.16155	1.16154	1.16149	1.16155	1.16157	1.16156	1.16157	1.16157	1.16157	1.16157	1.1615799999999998	1.1615799999999998	1.1615799999999998	1.16157	1.1615799999999998	1.1615799999999998	1.1615799999999998	1.1615799999999998	1.1615799999999998	1.1615799999999998	1.1615799999999998	1.1615799999999998	1.1615799999999998	1.16157	1.1615799999999998	1.16157	1.1615799999999998	1.16157	1.1615799999999998	1.1615799999999998	1.1615799999999998	1.1615799999999998	1.1615799999999998	1.1615799999999998	1.1615799999999998	1.1615799999999998	
62.4	1.16146	1.16147	1.16146	1.16146	1.16147	1.1614799999999998	1.16147	1.16149	1.16152	1.1614799999999998	1.1614799999999998	1.1614799999999998	1.16147	1.16151	1.16153	1.16154	1.16154	1.16154	1.16151	1.16155	1.16156	1.16155	1.16156	1.16156	1.16156	1.16156	1.16157	1.16157	1.16157	1.16156	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16156	1.16157	1.16156	1.16157	1.16156	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	1.16157	
64.8	1.1614799999999998	1.16149	1.1614799999999998	1.16149	1.16149	1.1615	1.16149	1.1615	1.16152	1.16149	1.1615	1.16149	1.16149	1.16152	1.16153	1.16154	1.16154	1.16154	1.16151	1.16154	1.16156	1.16155	1.16155	1.16155	1.16155	1.16155	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	
67.2	1.1615	1.1615	1.1615	1.1615	1.1615	1.16151	1.1615	1.16151	1.16153	1.16151	1.16151	1.16151	1.16151	1.16152	1.16153	1.16154	1.16154	1.16154	1.16152	1.16154	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16156	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	
69.6	1.16151	1.16151	1.16151	1.16151	1.16151	1.16152	1.16151	1.16152	1.16153	1.16152	1.16152	1.16152	1.16151	1.16153	1.16154	1.16154	1.16154	1.16154	1.16153	1.16154	1.16155	1.16154	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	
72.0	1.16152	1.16152	1.16152	1.16152	1.16152	1.16152	1.16152	1.16152	1.16153	1.16152	1.16152	1.16152	1.16152	1.16153	1.16154	1.16154	1.16154	1.16154	1.16153	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16155	1.16155	1.16155	1.16154	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16154	1.16155	1.16154	1.16155	1.16154	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	
74.4	1.16152	1.16153	1.16152	1.16152	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16154	1.16154	1.16154	1.16154	1.16153	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	
76.8	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16154	1.16153	1.16153	1.16153	1.16153	1.16153	1.16154	1.16154	1.16154	1.16154	1.16153	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	
79.2	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16154	1.16153	1.16153	1.16153	1.16153	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	
81.6	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16154	1.16153	1.16153	1.16153	1.16153	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	
84.0	1.16153	1.16153	1.16153	1.16153	1.16153	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	
86.4	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	
88.8	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	
91.2	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	
93.6	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	
96.0	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	
98.4	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	
100.8	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	
103.2	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	
105.6	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	
108.0	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	
110.4	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	
